ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
116A-ora,ora,Emai,116A,Polar Questions,Interrogative intonation only,Schaefer-and-Egbokhare-2007[ 19],
116A-xas,xas,Xasonga,116A,Polar Questions,Question particle,Koite-Herschel-1981-1982[ 213],
116A-zhn,zhn,Zhuang (Northern),116A,Polar Questions,Question particle,Yongxian-Luo-2008[ 356],
116A-cnm,cnm,Canamarí,116A,Polar Questions,Question particle,,
116A-ina,ina,Inanwatan,116A,Polar Questions,Question particle,de-Vries-1996[ 49],
116A-lgt,lgt,Logoti,116A,Polar Questions,Question particle,"Tucker-1967[ passim, 262]",
116A-nif,nif,Niuafo'ou,116A,Polar Questions,Interrogative intonation only,Early-2002[ 863],
116A-zzo,zzo,Zapotec (Zoogocho),116A,Polar Questions,Interrogative intonation only,Sonnenschein-2005[ 119-120],
116A-anu,anu,Anufo,116A,Polar Questions,Question particle,Smye-2004[ 101],
116A-bkn,bkn,Bakundu,116A,Polar Questions,Question particle,Ittmann-1971[299],
116A-dng,dng,Ding,116A,Polar Questions,Question particle,Mertens-1934[314],
116A-eip,eip,Eipo,116A,Polar Questions,Interrogative verb morphology,Heeschen-1998[ 153],
116A-mrq,mrq,Marquesan,116A,Polar Questions,Question particle,Lynch-2002a[ 875],
116A-ndi,ndi,Ngbandi,116A,Polar Questions,Interrogative intonation only,Toronzoni-1989[ 509],
116A-cup,cup,Cupeño,116A,Polar Questions,Interrogative intonation only,Hill-2005[ 387],
116A-hoa,hoa,Hoava,116A,Polar Questions,Interrogative intonation only,Davis-2003[ 317],
116A-mey,mey,Menya,116A,Polar Questions,Question particle,Whitehead-2005[14],
116A-pdp,pdp,Folopa,116A,Polar Questions,Interrogative verb morphology,,
116A-ano,ano,Anong,116A,Polar Questions,Interrogative intonation only,Sun-1988[ 61],
116A-dun,dun,Duna,116A,Polar Questions,Question particle,,
116A-gdb,gdb,Gutob,116A,Polar Questions,Interrogative verb morphology,Subba-Rao-and-Patnaik-1992[21],
116A-ifm,ifm,Ifumu,116A,Polar Questions,Question particle,Makouta-Mboukou-1977[ 480];Calloch-1911[58],
116A-mcc,mcc,Mochica,116A,Polar Questions,Question particle,Adelaar-2004[ 331],
116A-puq,puq,Puquina,116A,Polar Questions,Absence of declarative morphemes,Adelaar-2004[354],
116A-slg,slg,Sulung,116A,Polar Questions,Question particle,Tayeng-1990b[passim],
116A-tet,tet,Tetela,116A,Polar Questions,Question particle,Wetshemongo-1996[ 79],
116A-tsn,tsn,Tsonga,116A,Polar Questions,Question particle,"Baumbach-1987[265, 267]",
116A-bik,bik,Biak,116A,Polar Questions,Interrogative intonation only,van-den-Heuvel-2006[ 148],
116A-hdi,hdi,Hdi,116A,Polar Questions,Question particle,Frajzyngier-and-Shay-2002[ 355],
116A-mir,mir,Miriwung,116A,Polar Questions,Question particle,Kofod-1978[146],
116A-loz,loz,Lozi,116A,Polar Questions,Question particle,Mwisiya-1977[154],
116A-nke,nke,Nkem,116A,Polar Questions,Question particle,Sibomana-1986[ 287],
116A-sko,sko,Skou,116A,Polar Questions,Question particle,Voorhoeve-1971[ D],
116A-uli,uli,Ulithian,116A,Polar Questions,Interrogative intonation only,Lynch-2002b[ 802],
116A-wn,wn,Wik Ngathana,116A,Polar Questions,Question particle,Sutton-1978[ 296],
116A-cga,cga,Chaga,116A,Polar Questions,Question particle,Raum-1909[183],
116A-ghr,ghr,Bunan,116A,Polar Questions,Question particle,Sharma-1989b[255],
116A-foe,foe,Foe,116A,Polar Questions,Interrogative verb morphology,"Rule-1977[46, 53]",
116A-sea,sea,Southeast Ambrym,116A,Polar Questions,Interrogative intonation only,Crowley-2002b[ 669],
116A-wtm,wtm,Watam,116A,Polar Questions,Interrogative verb morphology,Anonymous-5[passim],
116A-bti,bti,Betoi,116A,Polar Questions,Interrogative verb morphology,"Zamponi-2003b[32, 38]",
116A-des,des,Desano,116A,Polar Questions,Interrogative verb morphology,Miller-1999[ 8],
116A-ebi,ebi,Ebira,116A,Polar Questions,Question particle,"Adive-1989[86, 123]",
116A-mni,mni,Moni,116A,Polar Questions,Interrogative verb morphology,"Boelaars-1950[108, 153]",
116A-bgn,bgn,Bugun,116A,Polar Questions,Question particle,Dondrup-1990[19],
116A-jug,jug,Jugli,116A,Polar Questions,Interrogative verb morphology,Rekhung-1988a[11],
116A-krj,krj,Karadjeri,116A,Polar Questions,Question particle,"Capell-1962b[64, 83]",
116A-khi,khi,Khinalug,116A,Polar Questions,Interrogative verb morphology,Kibrik-1994b[406],
116A-lmb,lmb,Lamba,116A,Polar Questions,Question particle,Doke-1922[155],
116A-skn,skn,Sikuani,116A,Polar Questions,Interrogative intonation only,Queixalos-2000[383],
116A-tho,tho,Thompson,116A,Polar Questions,Question particle,"Thompson-and-Thompson-1992[ 163, 166]",
116A-yqy,yqy,Yaqay,116A,Polar Questions,Question particle,"Boelaars-1950[152, 64]",
116A-aab,aab,Arapesh (Abu),116A,Polar Questions,Question particle,Nekitel-1985[99],
