ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
36A-bnd,bnd,Bandi,36A,The Associative Plural,Associative same as additive plural,,
36A-iir,iir,Indonesian (Papuan),36A,The Associative Plural,Unique periphrastic associative plural,,
36A-jcr,jcr,Jamaican Creole,36A,The Associative Plural,Associative same as additive plural,Bailey-1966[26-27],
36A-lma,lma,Loma,36A,The Associative Plural,Associative same as additive plural,,
36A-mbu,mbu,Manambu,36A,The Associative Plural,Associative same as additive plural,,
36A-mce,mce,Mískito Coast English Creole,36A,The Associative Plural,Unique periphrastic associative plural,Holm-1988[193],
36A-rsh,rsh,Rushan,36A,The Associative Plural,Unique affixal associative plural,,
36A-adt,adt,Adyghe (Temirgoy),36A,The Associative Plural,Unique periphrastic associative plural,Kumaxov-1971[24-25],
36A-gji,gji,Gurindji,36A,The Associative Plural,Unique affixal associative plural,,
36A-ktz,ktz,Kati (in Afghanistan),36A,The Associative Plural,Unique affixal associative plural,Grjunberg-1980[178],
36A-klg,klg,Kulung,36A,The Associative Plural,Associative same as additive plural,Tolsma-1999[20],
36A-lcr,lcr,Lesser Antillean French Creole,36A,The Associative Plural,Unique periphrastic associative plural,Holm-1988[193-194],
36A-lok,lok,Loko,36A,The Associative Plural,Associative same as additive plural,,
36A-tbs,tbs,Tabassaran,36A,The Associative Plural,Unique affixal associative plural,Magometov-1965[95-96],
36A-tmu,tmu,Tat (Muslim),36A,The Associative Plural,Unique affixal associative plural,Grjunberg-1963[22],
36A-tof,tof,Tofa,36A,The Associative Plural,Associative same as additive plural,Rassadin-1978[19],
36A-alu,alu,Alutor,36A,The Associative Plural,Associative same as additive plural,"Kibrik-et-al-2000[pp. 249, 31 {6-19}, 33 {6-45}, 40 {8-1}, 51 {10-17}, 62 {13-13}, 102 {21-94}, 103 {21-4}, 104 {21-11}.]",
36A-chm,chm,Chamalal,36A,The Associative Plural,Unique affixal associative plural,Magomedova-1985[132],
36A-fma,fma,Fula (Mauritanian),36A,The Associative Plural,Associative same as additive plural,,
36A-bdc,bdc,Berbice Dutch Creole,36A,The Associative Plural,Associative same as additive plural,"Kouwenberg-1994[230, 239]",
36A-hwc,hwc,Hawaiian Creole,36A,The Associative Plural,Unique affixal associative plural,Simonson-1986,
36A-kfc,kfc,Kriol (Fitzroy Crossing),36A,The Associative Plural,Unique affixal associative plural,,
36A-knq,knq,Kriol (Ngukurr),36A,The Associative Plural,Unique affixal associative plural,,
36A-orc,orc,Oroch,36A,The Associative Plural,Unique affixal associative plural,"Sunik-1982[122, 126]",
36A-agl,agl,Aghul,36A,The Associative Plural,Associative same as additive plural,Merdanova-and-Daniel-2001[170-171],
36A-bnw,bnw,Baniwa,36A,The Associative Plural,No associative plural,,
36A-kuq,kuq,Kumyk,36A,The Associative Plural,Associative same as additive plural,Gadzhiaxmedov-2000[43],
36A-pap,pap,Papiamentu,36A,The Associative Plural,Associative same as additive plural,den-Besten-1996,
36A-gag,gag,Gagauz,36A,The Associative Plural,Associative same as additive plural,Pokrovskaja-1964[108],
36A-pmc,pmc,Pomo (Central),36A,The Associative Plural,Unique affixal associative plural,Corbett-and-Mithun-1996[8-9],
36A-toq,toq,Toqabaqita,36A,The Associative Plural,Unique periphrastic associative plural,"Lichtenberk-2000[39, 1, 28-29]",
36A-mcr,mcr,Mauritian Creole,36A,The Associative Plural,Associative same as additive plural,,
36A-des,des,Desano,36A,The Associative Plural,Unique affixal associative plural,"Miller-1999[53-54, 163]",
36A-kaz,kaz,Kazakh,36A,The Associative Plural,Associative same as additive plural,Balakajev-et-al-1962[135],
36A-sil,sil,Sila,36A,The Associative Plural,Unique affixal associative plural,Tucker-and-Bryan-1966[235],
36A-cri,cri,Crimean Tatar,36A,The Associative Plural,Associative same as additive plural,Izidinova-1997[302],
36A-mdk,mdk,Mandinka,36A,The Associative Plural,Associative same as additive plural,Rowlands-1959[39],
36A-tsz,tsz,Tsez,36A,The Associative Plural,Unique affixal associative plural,,
36A-kyn,kyn,Koyukon,36A,The Associative Plural,Associative same as additive plural,Thompson-1989a[225],
36A-bgv,bgv,Bagvalal,36A,The Associative Plural,Associative same as additive plural,Daniel-2001[135-136],
36A-mag,mag,Magar,36A,The Associative Plural,Associative same as additive plural,,
36A-ngg,ngg,Ngan'gityemerri,36A,The Associative Plural,Associative same as additive plural,,
36A-afr,afr,Afrikaans,36A,The Associative Plural,Unique periphrastic associative plural,den-Besten-1996,
36A-khk,khk,Khakas,36A,The Associative Plural,Associative same as additive plural,Baskakov-1975[61],
36A-msk,msk,Masakin,36A,The Associative Plural,Unique affixal associative plural,"Tucker-and-Bryan-1966[277, 280, 281]",
36A-nob,nob,Nobiin,36A,The Associative Plural,Associative same as additive plural,Werner-1987[105],
36A-tpi,tpi,Tok Pisin,36A,The Associative Plural,Associative same as additive plural,Muhlhausler-1981[43],
36A-mds,mds,Manadonese,36A,The Associative Plural,Unique periphrastic associative plural,den-Besten-2001,
36A-sht,sht,Shatt,36A,The Associative Plural,Unique affixal associative plural,"Tucker-and-Bryan-1966[235, 237]",
36A-kop,kop,Komi-Permyak,36A,The Associative Plural,Associative same as additive plural,Tepljashina-and-Lytkin-1976[142],
36A-mmb,mmb,Mangap-Mbula,36A,The Associative Plural,Associative same as additive plural,Bugenhagen-1995[94],
36A-buu,buu,Buru,36A,The Associative Plural,Unique periphrastic associative plural,Grimes-1991[107-108],
36A-drg,drg,Dargwa,36A,The Associative Plural,Unique affixal associative plural,Talibov-1985[92],
36A-fri,fri,Frisian,36A,The Associative Plural,Unique periphrastic associative plural,,
36A-mwo,mwo,Mwotlap,36A,The Associative Plural,Unique periphrastic associative plural,Francois-2001,
36A-tlo,tlo,Tobelo,36A,The Associative Plural,Unique periphrastic associative plural,den-Besten-2001[49-58],
36A-kls,kls,Kalispel,36A,The Associative Plural,Associative same as additive plural,,
36A-nwd,nwd,Newar (Dolakha),36A,The Associative Plural,Associative same as additive plural,,
36A-tlf,tlf,Telefol,36A,The Associative Plural,Unique periphrastic associative plural,"Healey-1965a[16-17, 38]",
36A-uyg,uyg,Uyghur,36A,The Associative Plural,Associative same as additive plural,Nadzhip-1960[51],
36A-ifu,ifu,Ifugao (Batad),36A,The Associative Plural,Unique periphrastic associative plural,Newell-and-Bonog-Poligon-1993[14-15],
36A-chn,chn,Chantyal,36A,The Associative Plural,Associative same as additive plural,,
36A-nai,nai,Nanai,36A,The Associative Plural,Associative same as additive plural,"Sunik-1982[121, 122, 126]",
36A-fua,fua,Fula (Cameroonian),36A,The Associative Plural,Associative same as additive plural,Labatut-1973[62];Arnott-1970[400],
36A-nyi,nyi,Nyimang,36A,The Associative Plural,Unique affixal associative plural,Tucker-and-Bryan-1966[246],
36A-kpe,kpe,Kpelle,36A,The Associative Plural,Associative same as additive plural,,
36A-ses,ses,Sesotho,36A,The Associative Plural,Associative same as additive plural,,
36A-tvl,tvl,Tuvaluan,36A,The Associative Plural,Unique periphrastic associative plural,Besnier-2000[364],
36A-moe,moe,Mordvin (Erzya),36A,The Associative Plural,Unique affixal associative plural,"Honti-1997[63, 64]",
36A-rut,rut,Rutul,36A,The Associative Plural,Associative same as additive plural,"Maxmudova-2001[19-20, 27]",
36A-tar,tar,Tariana,36A,The Associative Plural,Associative same as additive plural,,
36A-hay,hay,Hayu,36A,The Associative Plural,Associative same as additive plural,Michailovsky-1988[164-165],
36A-lda,lda,Luganda,36A,The Associative Plural,Associative same as additive plural,Cole-1967[28],
36A-plk,plk,Palikur,36A,The Associative Plural,No associative plural,,
36A-bel,bel,Belhare,36A,The Associative Plural,Associative same as additive plural,Bickel-and-Nichols-2007,
36A-krc,krc,Karachay-Balkar,36A,The Associative Plural,Unique affixal associative plural,,
36A-nga,nga,Nganasan,36A,The Associative Plural,Associative same as additive plural,,
36A-udm,udm,Udmurt,36A,The Associative Plural,Associative same as additive plural,Tepljashina-and-Lytkin-1976[142],
36A-kry,kry,Koryak,36A,The Associative Plural,Associative same as additive plural,Zhukova-1972[99-100],
36A-gud,gud,Gude,36A,The Associative Plural,Unique periphrastic associative plural,Frajzyngier-1997[205],
36A-nia,nia,Nias,36A,The Associative Plural,Associative same as additive plural,,
36A-tuc,tuc,Tucano,36A,The Associative Plural,Associative same as additive plural,,
36A-kzy,kzy,Komi-Zyrian,36A,The Associative Plural,Associative same as additive plural,Tepljashina-and-Lytkin-1976[142],
36A-lao,lao,Lao,36A,The Associative Plural,Unique periphrastic associative plural,,
36A-mnc,mnc,Manchu,36A,The Associative Plural,Associative same as additive plural,"Doerfer-1962[191, 195, 196-197, 258]",
36A-mlt,mlt,Maltese,36A,The Associative Plural,Unique periphrastic associative plural,Corbett-2000[191],
36A-wrk,wrk,Warekena,36A,The Associative Plural,No associative plural,,
36A-bae,bae,Baré,36A,The Associative Plural,No associative plural,,
36A-ben,ben,Bengali,36A,The Associative Plural,Unique affixal associative plural,,
36A-but,but,Buriat,36A,The Associative Plural,Unique affixal associative plural,,
36A-chc,chc,Chechen,36A,The Associative Plural,Unique affixal associative plural,,
36A-mme,mme,Mari (Meadow),36A,The Associative Plural,Unique affixal associative plural,Kovedjaeva-1976[43],
36A-new,new,Newari (Kathmandu),36A,The Associative Plural,Associative same as additive plural,,
36A-sno,sno,Saami (Northern),36A,The Associative Plural,Unique affixal associative plural,Honti-1997[61],
36A-apl,apl,Apalaí,36A,The Associative Plural,Associative same as additive plural,"Koehn-and-Koehn-1986[33 {1}, 38 {31}, 41 {43}, 44 {54}, 55 {104}, 76 {222}, 88 {288}.]",
36A-tam,tam,Tamang (Eastern),36A,The Associative Plural,Unique affixal associative plural,,
36A-tvo,tvo,Tatar,36A,The Associative Plural,Unique affixal associative plural,,
36A-udh,udh,Udihe,36A,The Associative Plural,Associative same as additive plural,Nikolaeva-and-Tolskaya-2001[115-116],
